index	prediction
0	3.401
1	2.872
2	2.253
3	2.711
4	3.835
5	3.155
6	3.648
7	2.746
8	3.539
9	2.898
10	3.648
11	3.447
12	3.541
13	2.713
14	2.655
15	1.158
16	2.725
17	3.459
18	3.172
19	2.093
20	2.494
21	1.055
22	2.599
23	3.249
24	1.409
25	2.347
26	1.832
27	1.299
28	0.961
29	1.753
30	3.931
31	2.025
32	4.107
33	4.057
34	2.052
35	1.877
36	2.407
37	2.575
38	0.875
39	2.269
40	2.642
41	2.297
42	2.351
43	2.065
44	0.893
45	2.268
46	2.572
47	1.616
48	1.674
49	0.837
50	1.727
51	1.031
52	1.807
53	1.108
54	1.984
55	1.732
56	2.350
57	1.870
58	2.108
59	2.172
60	3.745
61	3.081
62	2.226
63	2.294
64	1.573
65	2.941
66	3.286
67	4.153
68	3.066
69	2.765
70	2.314
71	3.202
72	3.719
73	2.758
74	3.077
75	2.394
76	1.702
77	2.211
78	2.589
79	1.800
80	1.999
81	1.505
82	1.708
83	2.298
84	1.312
85	2.441
86	1.821
87	2.604
88	2.614
89	2.749
90	1.825
91	2.323
92	2.704
93	1.561
94	2.860
95	3.792
96	2.614
97	2.228
98	2.935
99	2.546
100	4.062
101	3.005
102	2.306
103	4.065
104	2.510
105	1.261
106	4.089
107	2.148
108	2.266
109	2.751
110	1.762
111	2.035
112	2.793
113	2.389
114	3.249
115	3.816
116	2.274
117	2.811
118	1.591
119	2.968
120	1.357
121	2.547
122	2.954
123	2.247
124	2.907
125	1.683
126	2.343
127	2.796
128	1.965
129	1.308
130	1.449
131	2.284
132	2.539
133	2.746
134	3.645
135	3.160
136	3.167
137	1.652
138	3.044
139	2.088
140	3.867
141	2.971
142	1.570
143	1.807
144	1.807
145	1.530
146	1.848
147	2.319
148	2.369
149	2.190
150	2.422
151	1.431
152	3.124
153	3.995
154	1.901
155	2.449
156	1.821
157	1.700
158	1.768
159	1.384
160	2.600
161	2.579
162	2.650
163	3.984
164	3.820
165	2.754
166	2.617
167	2.510
168	1.045
169	0.915
170	2.566
171	2.465
172	2.142
173	3.416
174	3.345
175	2.108
176	2.914
177	2.493
178	3.156
179	1.673
180	2.762
181	1.782
182	1.015
183	3.169
184	2.296
185	2.577
186	3.663
187	3.377
188	3.971
189	3.757
190	2.790
191	2.833
192	1.276
193	2.319
194	1.752
195	3.105
196	2.000
197	2.894
198	3.024
199	2.235
200	3.105
201	1.048
202	1.554
203	1.293
204	1.275
205	1.696
206	1.413
207	2.607
208	2.398
209	1.383
210	2.002
211	1.325
212	3.152
213	2.392
214	2.146
215	2.408
216	2.623
217	4.248
218	3.432
219	2.060
220	1.132
221	1.591
222	3.239
223	3.968
224	2.300
225	1.235
226	1.937
227	2.438
228	1.067
229	2.050
230	2.428
231	2.363
232	2.412
233	1.668
234	3.383
235	2.781
236	1.554
237	2.258
238	3.065
239	2.377
240	2.206
241	1.678
242	2.967
243	3.290
244	4.319
245	3.128
246	1.822
247	3.730
248	2.801
249	3.446
250	2.224
251	4.050
252	2.416
253	2.417
254	2.589
255	2.095
256	2.739
257	2.166
258	3.418
259	2.014
260	2.988
261	3.505
262	1.803
263	2.985
264	2.837
265	2.966
266	2.083
267	3.896
268	2.074
269	2.399
270	2.005
271	2.117
272	2.468
273	3.000
274	3.317
275	3.046
276	2.061
277	1.307
278	3.684
279	3.170
280	1.014
281	3.106
282	1.821
283	2.813
284	1.028
285	2.021
286	2.674
287	2.980
288	1.478
289	1.862
290	2.452
291	3.333
292	1.804
293	3.498
294	2.125
295	4.157
296	3.943
297	3.445
298	1.659
299	3.594
300	2.652
301	1.865
302	3.906
303	3.214
304	3.129
305	1.622
306	2.605
307	2.526
308	3.732
309	2.612
310	3.201
311	3.148
312	3.194
313	3.482
314	3.464
315	3.246
316	3.431
317	3.481
318	3.251
319	3.280
320	2.247
321	3.615
322	3.888
323	1.221
324	1.965
325	1.201
326	1.284
327	1.255
328	1.420
329	1.373
330	2.644
331	2.525
332	1.909
333	2.269
334	2.276
335	2.597
336	2.274
337	2.583
338	2.476
339	2.688
340	3.199
341	2.006
342	3.341
343	2.459
344	1.544
345	1.529
346	1.487
347	1.010
348	1.913
349	1.824
350	2.269
351	2.231
352	2.280
353	2.375
354	2.611
355	2.580
356	2.233
357	3.090
358	1.998
359	2.281
360	2.876
361	2.383
362	1.525
363	1.804
364	3.452
365	2.072
366	2.823
367	2.459
368	2.073
369	3.601
370	1.831
371	1.149
372	4.190
373	1.664
374	2.871
375	3.259
376	3.400
377	2.233
378	1.528
379	1.066
380	2.025
381	2.049
382	1.349
383	3.250
384	1.583
385	1.279
386	2.352
387	2.211
388	1.199
389	1.223
390	1.641
391	1.352
392	1.046
393	2.040
394	1.913
395	2.921
396	2.387
397	2.415
398	1.984
399	2.078
400	3.300
401	3.177
402	4.055
403	1.621
404	2.136
405	2.780
406	3.222
407	1.309
408	1.275
409	3.272
410	2.916
411	3.972
412	1.323
413	1.552
414	2.066
415	2.286
416	2.538
417	2.423
418	1.127
419	1.013
420	2.300
421	3.048
422	3.386
423	2.785
424	3.640
425	2.796
426	2.779
427	2.454
428	3.740
429	2.831
430	2.071
431	2.497
432	3.312
433	1.923
434	2.242
435	2.819
436	2.961
437	2.356
438	1.180
439	1.171
440	2.902
441	2.218
442	2.056
443	1.460
444	1.910
445	1.845
446	2.012
447	2.243
448	1.848
449	3.355
450	2.143
451	2.098
452	1.911
453	2.080
454	1.378
455	1.243
456	2.051
457	2.386
458	2.397
459	2.724
460	1.934
461	2.143
462	1.741
463	1.324
464	2.571
465	1.362
466	1.853
467	2.509
468	1.955
469	2.035
470	1.146
471	3.601
472	2.662
473	2.822
474	1.136
475	3.279
476	2.405
477	1.204
478	3.620
479	1.168
480	1.906
481	2.957
482	2.854
483	2.072
484	2.302
485	3.109
486	1.431
487	2.522
488	2.099
489	2.901
490	2.698
491	2.875
492	2.226
493	1.161
494	1.733
495	1.337
496	2.013
497	1.443
498	2.225
499	2.347
500	3.472
501	2.122
502	2.550
503	2.969
504	1.692
505	1.991
506	1.307
507	2.088
508	1.677
509	2.557
510	1.164
511	1.198
512	2.036
513	2.107
514	1.066
515	0.960
516	2.303
517	1.949
518	2.103
519	2.110
520	2.536
521	3.262
522	3.444
523	1.109
524	2.650
525	1.321
526	2.477
527	2.824
528	2.497
529	2.764
530	1.795
531	4.000
532	1.941
533	2.375
534	2.379
535	0.868
536	1.882
537	1.842
538	1.924
539	2.051
540	2.448
541	4.396
542	1.666
543	1.777
544	2.911
545	3.303
546	2.602
547	2.827
548	1.761
549	3.181
550	3.017
551	2.747
552	3.254
553	2.563
554	2.721
555	2.165
556	3.057
557	1.944
558	3.194
559	2.347
560	1.774
561	3.224
562	1.782
563	2.276
564	2.891
565	3.362
566	1.042
567	2.513
568	1.838
569	3.282
570	3.013
571	2.303
572	1.713
573	3.978
574	1.532
575	2.823
576	2.976
577	2.138
578	3.382
579	2.109
580	2.698
581	1.866
582	2.581
583	1.858
584	2.551
585	1.654
586	2.439
587	2.496
588	2.282
589	1.263
590	2.639
591	2.641
592	3.051
593	1.799
594	1.661
595	1.187
596	2.143
597	1.671
598	1.073
599	1.538
600	1.541
601	2.549
602	3.101
603	1.732
604	1.692
605	1.355
606	1.577
607	2.558
608	2.915
609	2.140
610	2.183
611	2.256
612	2.053
613	2.602
614	2.175
615	2.736
616	2.094
617	3.109
618	1.244
619	2.437
620	2.445
621	2.409
622	2.337
623	2.449
624	2.507
625	2.593
626	2.962
627	2.179
628	1.098
629	1.229
630	1.891
631	1.063
632	2.061
633	2.672
634	2.633
635	1.702
636	2.744
637	1.161
638	1.549
639	2.820
640	2.658
641	3.247
642	2.362
643	1.950
644	4.089
645	3.271
646	3.766
647	2.436
648	2.869
649	3.575
650	2.627
651	2.554
652	2.968
653	1.901
654	2.674
655	2.250
656	3.928
657	2.445
658	2.037
659	4.073
660	2.720
661	1.622
662	2.788
